"snapshot_time","relative_path","rows","bytes","sha256"
"2026-08-13T20:50:45+08:00","数据\objects.csv","78","16349","54800b32b2ee08b45bf0b9ad0aa569b406133a1f74be26d5301ee5de750a1ec7"
"2026-08-13T20:50:45+08:00","数据\object-relations.csv","27","7633","9bbe32227f7022a5f9e4fe379d805e60780c15d6987e5b20e3b94ac3241fa353"
"2026-08-13T20:50:45+08:00","数据\components.csv","270","46988","423180b7dcc9950c6eedc7e50ee89d6aa30b6b8b3dcab644bdd4067239e58a87"
"2026-08-13T20:50:45+08:00","数据\links.csv","45","9700","647fba1e936abe640b49fe26ca33b4775f674ba3f1239e1a68bbdf7b6fd12fab"
"2026-08-13T20:50:45+08:00","数据\precision-paths.csv","171","29509","13b0c596036655b9b39c960be647ef616e4ed3a26d980c25fe6282c1082265f6"
"2026-08-13T20:50:45+08:00","数据\special-capabilities.csv","95","17292","ce59d773611e84a22f8f66a3fe78ac79fc6f655f1ca976da16ec0942c72bf59b"
"2026-08-13T20:50:45+08:00","数据\topologies.csv","5","1105","3002be526aba90d9c646b1fc00d1e63e1c495713c8ee165ef02f11949915c8d8"
"2026-08-13T20:50:45+08:00","数据\facts.csv","798","333103","24addee6816046f5d3d1651cc4fc54e62e536a13d360c27c04bd833a89384871"
"2026-08-13T20:50:45+08:00","数据\field-requirements.csv","1059","372903","7f84f6109d3a362bdf6beae395e6213bc2aefcfb0244ab7d4440680b0c8cf9a3"
"2026-08-13T20:50:45+08:00","数据\card-completeness.csv","405","87020","4463ba1f9724d8e23b07b96e00d6d30e01eb0fbc10b51f57ed959388bd06cf62"
"2026-08-13T20:50:45+08:00","最小参考资料库\fact-assertions.csv","832","419649","284489effdbfda10a37da139ded2d68c1608004fbc93336c0cd1ff023d5dab33"
"2026-08-13T20:50:45+08:00","最小参考资料库\selection-runs.csv","11","4414","1e2f0aa6e13af4f0ce5b9268c62bee58735b320196400f6ea2773354bbc1672c"
"2026-08-13T20:50:45+08:00","最小参考资料库\selection-members.csv","106","43146","33489268f80d30d4b1d0063da8cb7a15e8ad0fe3d1f1c961bc19d41339dfbd30"
"2026-08-13T20:50:45+08:00","最小参考资料库\sources.csv","93","35508","eee9a5dd3161d1fc83cbf141c3af930e87fbdef1cf1eb4dda3a13388837518eb"
"2026-08-13T20:50:45+08:00","最小参考资料库\source-screening.csv","101","37030","dde05c0fd0557d945309ec11b782a14d6df56f74fb69604ea4a6bcc4dc2674b6"
"2026-08-13T20:50:45+08:00","最小参考资料库\source-selected-roles.csv","113","25202","1b7d95871586b874b076863f64f5e5a2e276a70a565bbe199d7ac0b69c7bb262"
"2026-08-13T20:50:45+08:00","最小参考资料库\source-coverage.csv","27","10991","5c20123eeddf5046e7b6bc8b44728d5eb89f2ce70106f292b3508b0311a7bf68"
