"sequence","timestamp_utc","phase","kind","relative_path","observed_sha256","details"
"1","2026-08-13T08:30:03.1438029Z","precommit","lock_acquired","","6f4bb6f51902c8c49ac2b12bf7f81ccfe8e9c24eeab5c4b138f302c3be88bf7a","X:\independent-package\scripts\ASCEND950-FORMAL-TRANSACTION-LOCK-a3d61882ea2b71bd.lock"
"2","2026-08-13T08:30:30.3748716Z","commit_begin","csv_replace","数据/card-completeness.csv","a046bf3d9c7c88d1204a2f12e24c1ea654aa9ddd85115b2089c50f2de21c738b","registered_before_move;candidate=3b4637714a43bff5ab9ff1d6b11108c980b8a031d06ba71bc4f9085c413e7af6"
"3","2026-08-13T08:30:30.3954271Z","commit_complete","csv_replace","数据/card-completeness.csv","3b4637714a43bff5ab9ff1d6b11108c980b8a031d06ba71bc4f9085c413e7af6","commit_index=1"
"4","2026-08-13T08:30:30.4007541Z","commit_begin","csv_replace","数据/components.csv","506243dd2d4f48b281197d5113133e6591f19d14c4c818e0ef140c5039088cd6","registered_before_move;candidate=d6f60a1cb98b6bf590f72fd10449cd803bc6112c4c80f39c3946e1b92ce59648"
"5","2026-08-13T08:30:30.4272679Z","commit_complete","csv_replace","数据/components.csv","d6f60a1cb98b6bf590f72fd10449cd803bc6112c4c80f39c3946e1b92ce59648","commit_index=2"
"6","2026-08-13T08:30:30.4314806Z","commit_begin","csv_replace","数据/condition-sets.csv","c80a2e5e5cf98e90a2902c871ca64093d3e9f572a871eedfa1f806d304bd94c3","registered_before_move;candidate=445b92ad028e21570420cae626e89fdcae41548b4aaaed775381d26c3c26ae08"
"7","2026-08-13T08:30:30.4585311Z","commit_complete","csv_replace","数据/condition-sets.csv","445b92ad028e21570420cae626e89fdcae41548b4aaaed775381d26c3c26ae08","commit_index=3"
"8","2026-08-13T08:30:30.4669448Z","rollback_begin","csv_restore","数据/condition-sets.csv","445b92ad028e21570420cae626e89fdcae41548b4aaaed775381d26c3c26ae08","reverse_index=2"
"9","2026-08-13T08:30:30.4824723Z","rollback_complete","csv_restore","数据/condition-sets.csv","c80a2e5e5cf98e90a2902c871ca64093d3e9f572a871eedfa1f806d304bd94c3","restored_premerge_backup"
"10","2026-08-13T08:30:30.4858653Z","rollback_begin","csv_restore","数据/components.csv","d6f60a1cb98b6bf590f72fd10449cd803bc6112c4c80f39c3946e1b92ce59648","reverse_index=1"
"11","2026-08-13T08:30:30.5110505Z","rollback_complete","csv_restore","数据/components.csv","506243dd2d4f48b281197d5113133e6591f19d14c4c818e0ef140c5039088cd6","restored_premerge_backup"
"12","2026-08-13T08:30:30.5156605Z","rollback_begin","csv_restore","数据/card-completeness.csv","3b4637714a43bff5ab9ff1d6b11108c980b8a031d06ba71bc4f9085c413e7af6","reverse_index=0"
"13","2026-08-13T08:30:30.5414895Z","rollback_complete","csv_restore","数据/card-completeness.csv","a046bf3d9c7c88d1204a2f12e24c1ea654aa9ddd85115b2089c50f2de21c738b","restored_premerge_backup"
"14","2026-08-13T08:30:30.6399324Z","rollback_complete","transaction","","f1520907d54e406e7d82f591e3799f07f569218aff0c321ac3b836b6c649da10","all_registered_changes_reversed"
