"target_path","package_count","packages","mi455x_rows","mi350p_rows","ascend950_rows","bundle_rows"
"数据/card-completeness.csv","3","ASCEND950|MI350P|MI455X","9","9","27","45"
"数据/components.csv","3","ASCEND950|MI350P|MI455X","5","5","6","16"
"数据/condition-sets.csv","3","ASCEND950|MI350P|MI455X","9","10","11","30"
"数据/facts.csv","3","ASCEND950|MI350P|MI455X","39","40","41","120"
"数据/field-requirements.csv","3","ASCEND950|MI350P|MI455X","44","46","106","196"
"数据/links.csv","3","ASCEND950|MI350P|MI455X","3","1","3","7"
"数据/memory-levels.csv","3","ASCEND950|MI350P|MI455X","2","2","2","6"
"数据/precision-paths.csv","3","ASCEND950|MI350P|MI455X","12","12","5","29"
"最小参考资料库/fact-assertions.csv","3","ASCEND950|MI350P|MI455X","53","49","50","152"
"最小参考资料库/requirement-evidence.csv","1","ASCEND950","0","0","1","1"
"最小参考资料库/search-log.csv","3","ASCEND950|MI350P|MI455X","8","12","53","73"
"最小参考资料库/search-results.csv","3","ASCEND950|MI350P|MI455X","32","56","212","300"
"最小参考资料库/selection-members.csv","3","ASCEND950|MI350P|MI455X","4","3","3","10"
"最小参考资料库/selection-runs.csv","3","ASCEND950|MI350P|MI455X","1","1","1","3"
"最小参考资料库/source-coverage.csv","3","ASCEND950|MI350P|MI455X","4","3","1","8"
"最小参考资料库/source-endpoints.csv","3","ASCEND950|MI350P|MI455X","4","6","5","15"
"最小参考资料库/source-families.csv","3","ASCEND950|MI350P|MI455X","2","3","4","9"
"最小参考资料库/sources.csv","3","ASCEND950|MI350P|MI455X","2","3","4","9"
"最小参考资料库/source-screening.csv","3","ASCEND950|MI350P|MI455X","4","5","4","13"
"最小参考资料库/source-selected-roles.csv","3","ASCEND950|MI350P|MI455X","5","4","6","15"
