"sequence","timestamp_utc","phase","kind","relative_path","observed_sha256","details"
"1","2026-08-13T09:43:36.7319376Z","precommit","lock_acquired","","dc140e414da0e900fc0d7ac12ab35744f110d18fc9eb80ce182b942bd031c326","D:\Appdata From C\Temp\br3-4c3536737123\M2W3-BUNDLE-FORMAL-TRANSACTION-LOCK-a37cc8230ad776a9.lock"
"2","2026-08-13T09:44:16.8613095Z","commit_begin","csv_replace","数据/card-completeness.csv","a046bf3d9c7c88d1204a2f12e24c1ea654aa9ddd85115b2089c50f2de21c738b","registered_before_move;candidate=4463ba1f9724d8e23b07b96e00d6d30e01eb0fbc10b51f57ed959388bd06cf62"
"3","2026-08-13T09:44:16.8842305Z","commit_complete","csv_replace","数据/card-completeness.csv","4463ba1f9724d8e23b07b96e00d6d30e01eb0fbc10b51f57ed959388bd06cf62","commit_index=1"
"4","2026-08-13T09:44:16.8892572Z","commit_begin","csv_replace","数据/components.csv","506243dd2d4f48b281197d5113133e6591f19d14c4c818e0ef140c5039088cd6","registered_before_move;candidate=423180b7dcc9950c6eedc7e50ee89d6aa30b6b8b3dcab644bdd4067239e58a87"
"5","2026-08-13T09:44:16.9168711Z","commit_complete","csv_replace","数据/components.csv","423180b7dcc9950c6eedc7e50ee89d6aa30b6b8b3dcab644bdd4067239e58a87","commit_index=2"
"6","2026-08-13T09:44:16.9223809Z","commit_begin","csv_replace","数据/condition-sets.csv","c80a2e5e5cf98e90a2902c871ca64093d3e9f572a871eedfa1f806d304bd94c3","registered_before_move;candidate=490f158c13fdfcaaf4ec25973288e9413ac0df89d2bc04470f1e17d64aee31bd"
"7","2026-08-13T09:44:16.9462300Z","commit_complete","csv_replace","数据/condition-sets.csv","490f158c13fdfcaaf4ec25973288e9413ac0df89d2bc04470f1e17d64aee31bd","commit_index=3"
"8","2026-08-13T09:44:16.9552478Z","rollback_begin","csv_restore","数据/condition-sets.csv","490f158c13fdfcaaf4ec25973288e9413ac0df89d2bc04470f1e17d64aee31bd","reverse_index=2"
"9","2026-08-13T09:44:16.9742688Z","rollback_complete","csv_restore","数据/condition-sets.csv","c80a2e5e5cf98e90a2902c871ca64093d3e9f572a871eedfa1f806d304bd94c3","restored_premerge_backup"
"10","2026-08-13T09:44:16.9782735Z","rollback_begin","csv_restore","数据/components.csv","423180b7dcc9950c6eedc7e50ee89d6aa30b6b8b3dcab644bdd4067239e58a87","reverse_index=1"
"11","2026-08-13T09:44:16.9970456Z","rollback_complete","csv_restore","数据/components.csv","506243dd2d4f48b281197d5113133e6591f19d14c4c818e0ef140c5039088cd6","restored_premerge_backup"
"12","2026-08-13T09:44:17.0015723Z","rollback_begin","csv_restore","数据/card-completeness.csv","4463ba1f9724d8e23b07b96e00d6d30e01eb0fbc10b51f57ed959388bd06cf62","reverse_index=0"
"13","2026-08-13T09:44:17.0270532Z","rollback_complete","csv_restore","数据/card-completeness.csv","a046bf3d9c7c88d1204a2f12e24c1ea654aa9ddd85115b2089c50f2de21c738b","restored_premerge_backup"
"14","2026-08-13T09:44:17.1636101Z","rollback_complete","transaction","","f1520907d54e406e7d82f591e3799f07f569218aff0c321ac3b836b6c649da10","all_registered_changes_reversed"
