"sequence","timestamp_utc","phase","kind","relative_path","observed_sha256","details"
"1","2026-08-13T09:10:43.7415428Z","precommit","lock_acquired","","a60e221566e14544cce614c8f2c88cf76b1a375ef6204b6726df8c55c3b3ba89","D:\Appdata From C\Temp\br3-d988b9c2096b\M2W3-BUNDLE-FORMAL-TRANSACTION-LOCK-5a7bafaab1d435db.lock"
"2","2026-08-13T09:11:19.5587751Z","commit_begin","csv_replace","数据/card-completeness.csv","a046bf3d9c7c88d1204a2f12e24c1ea654aa9ddd85115b2089c50f2de21c738b","registered_before_move;candidate=4463ba1f9724d8e23b07b96e00d6d30e01eb0fbc10b51f57ed959388bd06cf62"
"3","2026-08-13T09:11:19.5843547Z","commit_complete","csv_replace","数据/card-completeness.csv","4463ba1f9724d8e23b07b96e00d6d30e01eb0fbc10b51f57ed959388bd06cf62","commit_index=1"
"4","2026-08-13T09:11:19.5888638Z","commit_begin","csv_replace","数据/components.csv","506243dd2d4f48b281197d5113133e6591f19d14c4c818e0ef140c5039088cd6","registered_before_move;candidate=423180b7dcc9950c6eedc7e50ee89d6aa30b6b8b3dcab644bdd4067239e58a87"
"5","2026-08-13T09:11:19.6151883Z","commit_complete","csv_replace","数据/components.csv","423180b7dcc9950c6eedc7e50ee89d6aa30b6b8b3dcab644bdd4067239e58a87","commit_index=2"
"6","2026-08-13T09:11:19.6193140Z","commit_begin","csv_replace","数据/condition-sets.csv","c80a2e5e5cf98e90a2902c871ca64093d3e9f572a871eedfa1f806d304bd94c3","registered_before_move;candidate=490f158c13fdfcaaf4ec25973288e9413ac0df89d2bc04470f1e17d64aee31bd"
"7","2026-08-13T09:11:19.6463411Z","commit_complete","csv_replace","数据/condition-sets.csv","490f158c13fdfcaaf4ec25973288e9413ac0df89d2bc04470f1e17d64aee31bd","commit_index=3"
"8","2026-08-13T09:11:19.6553815Z","rollback_begin","csv_restore","数据/condition-sets.csv","490f158c13fdfcaaf4ec25973288e9413ac0df89d2bc04470f1e17d64aee31bd","reverse_index=2"
"9","2026-08-13T09:11:19.6723951Z","rollback_complete","csv_restore","数据/condition-sets.csv","c80a2e5e5cf98e90a2902c871ca64093d3e9f572a871eedfa1f806d304bd94c3","restored_premerge_backup"
"10","2026-08-13T09:11:19.6769116Z","rollback_begin","csv_restore","数据/components.csv","423180b7dcc9950c6eedc7e50ee89d6aa30b6b8b3dcab644bdd4067239e58a87","reverse_index=1"
"11","2026-08-13T09:11:19.7012374Z","rollback_complete","csv_restore","数据/components.csv","506243dd2d4f48b281197d5113133e6591f19d14c4c818e0ef140c5039088cd6","restored_premerge_backup"
"12","2026-08-13T09:11:19.7052385Z","rollback_begin","csv_restore","数据/card-completeness.csv","4463ba1f9724d8e23b07b96e00d6d30e01eb0fbc10b51f57ed959388bd06cf62","reverse_index=0"
"13","2026-08-13T09:11:19.7272733Z","rollback_complete","csv_restore","数据/card-completeness.csv","a046bf3d9c7c88d1204a2f12e24c1ea654aa9ddd85115b2089c50f2de21c738b","restored_premerge_backup"
"14","2026-08-13T09:11:19.8616428Z","rollback_complete","transaction","","f1520907d54e406e7d82f591e3799f07f569218aff0c321ac3b836b6c649da10","all_registered_changes_reversed"
